Tarih,Cadde,Enlem,Boylam,Yogunluk,Renk,Durum,Saat,Gun
2025-12-05 02:53:31.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,25,Yesil,Acik,2,4
2025-12-01 12:52:07.274093,Altınyol (Anadolu Cad.),38.456,27.175,24,Yesil,Acik,12,0
2025-07-19 17:50:39.274093,Altınyol (Anadolu Cad.),38.456,27.175,24,Yesil,Acik,17,5
2025-10-27 14:16:44.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,18,Yesil,Acik,14,0
2025-09-04 19:06:51.274093,Talatpaşa Bulvarı,38.432,27.142,85,Kirmizi,Cok Yogun,19,3
2025-11-09 01:05:24.274093,Yeşildere Caddesi,38.405,27.155,28,Yesil,Acik,1,6
2025-10-17 04:53:32.274093,Manas Bulvarı,38.45,27.2,23,Yesil,Acik,4,4
2025-09-21 18:28:15.274093,Talatpaşa Bulvarı,38.432,27.142,13,Yesil,Acik,18,6
2025-09-12 10:29:52.274093,Altınyol (Anadolu Cad.),38.456,27.175,17,Yesil,Acik,10,4
2025-09-17 00:30:03.274093,Manas Bulvarı,38.45,27.2,24,Yesil,Acik,0,2
2025-09-14 08:59:23.274093,Altınyol (Anadolu Cad.),38.456,27.175,17,Yesil,Acik,8,6
2025-10-04 06:02:22.274093,Talatpaşa Bulvarı,38.432,27.142,28,Yesil,Acik,6,5
2025-08-01 22:37:39.274093,Manas Bulvarı,38.45,27.2,10,Yesil,Acik,22,4
2025-10-30 10:09:42.274093,Yeşildere Caddesi,38.405,27.155,10,Yesil,Acik,10,3
2025-09-26 13:00:31.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,24,Yesil,Acik,13,4
2025-12-03 23:57:26.274093,Talatpaşa Bulvarı,38.432,27.142,24,Yesil,Acik,23,2
2025-09-11 17:01:23.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,80,Kirmizi,Cok Yogun,17,3
2025-12-16 13:31:20.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,22,Yesil,Acik,13,1
2025-12-19 20:30:52.274093,Talatpaşa Bulvarı,38.432,27.142,21,Yesil,Acik,20,4
2025-10-06 21:28:48.274093,Yeşildere Caddesi,38.405,27.155,20,Yesil,Acik,21,0
2025-12-17 23:49:21.274093,Talatpaşa Bulvarı,38.432,27.142,24,Yesil,Acik,23,2
2025-11-14 20:35:40.274093,Altınyol (Anadolu Cad.),38.456,27.175,24,Yesil,Acik,20,4
2025-07-27 10:15:24.274093,Manas Bulvarı,38.45,27.2,19,Yesil,Acik,10,6
2025-09-29 13:37:50.274093,Manas Bulvarı,38.45,27.2,28,Yesil,Acik,13,0
2025-10-01 10:52:05.274093,Manas Bulvarı,38.45,27.2,26,Yesil,Acik,10,2
2025-12-20 06:41:13.274093,Yeşildere Caddesi,38.405,27.155,20,Yesil,Acik,6,5
2025-10-23 05:57:35.274093,Manas Bulvarı,38.45,27.2,18,Yesil,Acik,5,3
2025-08-04 00:41:19.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,26,Yesil,Acik,0,0
2025-10-03 22:10:20.274093,Talatpaşa Bulvarı,38.432,27.142,21,Yesil,Acik,22,4
2025-08-15 12:55:49.274093,Yeşildere Caddesi,38.405,27.155,10,Yesil,Acik,12,4
2025-09-28 01:25:14.274093,Yeşildere Caddesi,38.405,27.155,14,Yesil,Acik,1,6
2025-08-04 21:46:15.274093,Altınyol (Anadolu Cad.),38.456,27.175,14,Yesil,Acik,21,0
2025-10-05 15:07:50.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,78,Kirmizi,Cok Yogun,15,6
2025-11-18 09:11:35.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,80,Kirmizi,Cok Yogun,9,1
2025-12-14 11:14:36.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,19,Yesil,Acik,11,6
2025-10-06 00:36:40.274093,Altınyol (Anadolu Cad.),38.456,27.175,25,Yesil,Acik,0,0
2025-08-29 05:46:16.274093,Yeşildere Caddesi,38.405,27.155,26,Yesil,Acik,5,4
2025-12-10 17:43:47.274093,Yeşildere Caddesi,38.405,27.155,89,Kirmizi,Cok Yogun,17,2
2025-08-15 22:19:38.274093,Altınyol (Anadolu Cad.),38.456,27.175,25,Yesil,Acik,22,4
2025-10-14 11:09:10.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,13,Yesil,Acik,11,1
2025-07-04 19:28:32.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,77,Kirmizi,Cok Yogun,19,4
2025-11-20 11:12:08.274093,Yeşildere Caddesi,38.405,27.155,15,Yesil,Acik,11,3
2025-11-17 02:32:55.274093,Talatpaşa Bulvarı,38.432,27.142,27,Yesil,Acik,2,0
2025-12-02 23:20:53.274093,Talatpaşa Bulvarı,38.432,27.142,17,Yesil,Acik,23,1
2025-10-30 17:40:34.274093,Manas Bulvarı,38.45,27.2,83,Kirmizi,Cok Yogun,17,3
2025-12-11 16:15:42.274093,Manas Bulvarı,38.45,27.2,25,Yesil,Acik,16,3
2025-09-14 10:09:27.274093,Talatpaşa Bulvarı,38.432,27.142,10,Yesil,Acik,10,6
2025-10-09 02:02:54.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,10,Yesil,Acik,2,3
2025-12-21 23:43:11.274093,Talatpaşa Bulvarı,38.432,27.142,15,Yesil,Acik,23,6
2025-10-07 12:54:58.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,21,Yesil,Acik,12,1
2025-09-14 17:47:50.274093,Talatpaşa Bulvarı,38.432,27.142,20,Yesil,Acik,17,6
2025-10-14 05:06:00.274093,Manas Bulvarı,38.45,27.2,15,Yesil,Acik,5,1
2025-10-10 09:04:58.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,73,Kirmizi,Cok Yogun,9,4
2025-12-15 05:11:39.274093,Yeşildere Caddesi,38.405,27.155,24,Yesil,Acik,5,0
2025-12-03 13:54:45.274093,Yeşildere Caddesi,38.405,27.155,21,Yesil,Acik,13,2
2025-12-25 09:55:35.274093,Yeşildere Caddesi,38.405,27.155,74,Kirmizi,Cok Yogun,9,3
2025-09-14 06:55:19.274093,Altınyol (Anadolu Cad.),38.456,27.175,16,Yesil,Acik,6,6
2025-10-13 02:47:35.274093,Manas Bulvarı,38.45,27.2,29,Yesil,Acik,2,0
2025-12-22 06:20:15.274093,Talatpaşa Bulvarı,38.432,27.142,22,Yesil,Acik,6,0
2025-06-30 05:31:40.274093,Yeşildere Caddesi,38.405,27.155,29,Yesil,Acik,5,0
2025-10-03 00:04:33.274093,Manas Bulvarı,38.45,27.2,29,Yesil,Acik,0,4
2025-10-20 05:32:31.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,22,Yesil,Acik,5,0
2025-09-18 05:25:44.274093,Yeşildere Caddesi,38.405,27.155,13,Yesil,Acik,5,3
2025-08-01 11:29:42.274093,Altınyol (Anadolu Cad.),38.456,27.175,14,Yesil,Acik,11,4
2025-07-26 20:29:36.274093,Manas Bulvarı,38.45,27.2,28,Yesil,Acik,20,5
2025-06-30 19:55:38.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,88,Kirmizi,Cok Yogun,19,0
2025-11-14 03:22:27.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,11,Yesil,Acik,3,4
2025-08-10 16:11:15.274093,Yeşildere Caddesi,38.405,27.155,66,Turuncu,Akici Yogun,16,6
2025-11-29 02:54:13.274093,Talatpaşa Bulvarı,38.432,27.142,21,Yesil,Acik,2,5
2025-10-14 08:45:58.274093,Manas Bulvarı,38.45,27.2,75,Kirmizi,Cok Yogun,8,1
2025-11-01 04:39:11.274093,Talatpaşa Bulvarı,38.432,27.142,22,Yesil,Acik,4,5
2025-07-02 16:52:02.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,17,Yesil,Acik,16,2
2025-09-09 09:09:20.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,67,Turuncu,Akici Yogun,9,1
2025-08-25 10:44:00.274093,Yeşildere Caddesi,38.405,27.155,13,Yesil,Acik,10,0
2025-12-14 01:05:36.274093,Manas Bulvarı,38.45,27.2,24,Yesil,Acik,1,6
2025-07-23 20:56:09.274093,Manas Bulvarı,38.45,27.2,26,Yesil,Acik,20,2
2025-07-20 04:21:32.274093,Talatpaşa Bulvarı,38.432,27.142,21,Yesil,Acik,4,6
2025-12-05 08:18:07.274093,Manas Bulvarı,38.45,27.2,63,Turuncu,Akici Yogun,8,4
2025-08-21 19:05:14.274093,Yeşildere Caddesi,38.405,27.155,77,Kirmizi,Cok Yogun,19,3
2025-10-28 15:32:18.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,12,Yesil,Acik,15,1
2025-06-30 01:40:00.274093,Manas Bulvarı,38.45,27.2,17,Yesil,Acik,1,0
2025-09-07 06:36:26.274093,Manas Bulvarı,38.45,27.2,22,Yesil,Acik,6,6
2025-10-20 06:08:04.274093,Altınyol (Anadolu Cad.),38.456,27.175,28,Yesil,Acik,6,0
2025-09-04 02:15:00.274093,Altınyol (Anadolu Cad.),38.456,27.175,15,Yesil,Acik,2,3
2025-10-14 22:03:45.274093,Manas Bulvarı,38.45,27.2,12,Yesil,Acik,22,1
2025-07-24 19:07:59.274093,Talatpaşa Bulvarı,38.432,27.142,82,Kirmizi,Cok Yogun,19,3
2025-10-02 21:38:51.274093,Altınyol (Anadolu Cad.),38.456,27.175,17,Yesil,Acik,21,3
2025-08-04 09:17:14.274093,Yeşildere Caddesi,38.405,27.155,80,Kirmizi,Cok Yogun,9,0
2025-10-03 09:16:50.274093,Talatpaşa Bulvarı,38.432,27.142,80,Kirmizi,Cok Yogun,9,4
2025-08-09 22:05:32.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,23,Yesil,Acik,22,5
2025-08-29 18:08:25.274093,Talatpaşa Bulvarı,38.432,27.142,72,Kirmizi,Cok Yogun,18,4
2025-09-30 10:17:42.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,11,Yesil,Acik,10,1
2025-07-18 09:59:45.274093,Talatpaşa Bulvarı,38.432,27.142,76,Kirmizi,Cok Yogun,9,4
2025-09-12 17:37:12.274093,Altınyol (Anadolu Cad.),38.456,27.175,94,Kirmizi,Cok Yogun,17,4
2025-11-09 13:00:59.274093,Talatpaşa Bulvarı,38.432,27.142,59,Turuncu,Akici Yogun,13,6
2025-10-16 05:51:07.274093,Altınyol (Anadolu Cad.),38.456,27.175,21,Yesil,Acik,5,3
2025-08-23 06:17:21.274093,Altınyol (Anadolu Cad.),38.456,27.175,28,Yesil,Acik,6,5
2025-07-08 13:22:27.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,21,Yesil,Acik,13,1
2025-09-25 05:24:24.274093,Altınyol (Anadolu Cad.),38.456,27.175,10,Yesil,Acik,5,3
2025-11-05 05:53:50.274093,Yeşildere Caddesi,38.405,27.155,22,Yesil,Acik,5,2
2025-08-19 10:28:55.274093,Talatpaşa Bulvarı,38.432,27.142,15,Yesil,Acik,10,1
2025-10-03 16:53:43.274093,Manas Bulvarı,38.45,27.2,13,Yesil,Acik,16,4
2025-09-01 09:42:00.274093,Talatpaşa Bulvarı,38.432,27.142,94,Kirmizi,Cok Yogun,9,0
2025-10-05 17:34:02.274093,Talatpaşa Bulvarı,38.432,27.142,10,Yesil,Acik,17,6
2025-12-10 13:31:24.274093,Manas Bulvarı,38.45,27.2,28,Yesil,Acik,13,2
2025-10-23 18:10:41.274093,Yeşildere Caddesi,38.405,27.155,87,Kirmizi,Cok Yogun,18,3
2025-08-18 04:28:31.274093,Altınyol (Anadolu Cad.),38.456,27.175,24,Yesil,Acik,4,0
2025-07-01 20:39:22.274093,Manas Bulvarı,38.45,27.2,22,Yesil,Acik,20,1
2025-08-26 22:13:10.274093,Yeşildere Caddesi,38.405,27.155,15,Yesil,Acik,22,1
2025-12-19 07:19:10.274093,Yeşildere Caddesi,38.405,27.155,79,Kirmizi,Cok Yogun,7,4
2025-07-04 21:06:50.274093,Talatpaşa Bulvarı,38.432,27.142,21,Yesil,Acik,21,4
2025-10-18 05:07:34.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,26,Yesil,Acik,5,5
2025-06-29 00:53:56.274093,Talatpaşa Bulvarı,38.432,27.142,22,Yesil,Acik,0,6
2025-12-15 15:26:57.274093,Yeşildere Caddesi,38.405,27.155,14,Yesil,Acik,15,0
2025-11-27 06:47:53.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,21,Yesil,Acik,6,3
2025-11-23 10:44:49.274093,Altınyol (Anadolu Cad.),38.456,27.175,17,Yesil,Acik,10,6
2025-07-12 23:40:04.274093,Altınyol (Anadolu Cad.),38.456,27.175,14,Yesil,Acik,23,5
2025-12-23 11:23:06.274093,Talatpaşa Bulvarı,38.432,27.142,21,Yesil,Acik,11,1
2025-08-15 10:18:00.274093,Altınyol (Anadolu Cad.),38.456,27.175,21,Yesil,Acik,10,4
2025-11-12 18:56:27.274093,Manas Bulvarı,38.45,27.2,93,Kirmizi,Cok Yogun,18,2
2025-11-25 04:45:36.274093,Altınyol (Anadolu Cad.),38.456,27.175,10,Yesil,Acik,4,1
2025-07-31 17:52:33.274093,Talatpaşa Bulvarı,38.432,27.142,94,Kirmizi,Cok Yogun,17,3
2025-11-23 16:47:51.274093,Altınyol (Anadolu Cad.),38.456,27.175,56,Turuncu,Akici Yogun,16,6
2025-07-27 02:06:07.274093,Altınyol (Anadolu Cad.),38.456,27.175,29,Yesil,Acik,2,6
2025-08-24 05:41:45.274093,Talatpaşa Bulvarı,38.432,27.142,21,Yesil,Acik,5,6
2025-08-03 15:24:18.274093,Yeşildere Caddesi,38.405,27.155,62,Turuncu,Akici Yogun,15,6
2025-07-02 12:56:00.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,17,Yesil,Acik,12,2
2025-11-20 15:47:03.274093,Yeşildere Caddesi,38.405,27.155,13,Yesil,Acik,15,3
2025-10-07 00:11:40.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,26,Yesil,Acik,0,1
2025-10-22 22:16:36.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,20,Yesil,Acik,22,2
2025-12-22 06:33:27.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,25,Yesil,Acik,6,0
2025-08-22 02:44:10.274093,Talatpaşa Bulvarı,38.432,27.142,28,Yesil,Acik,2,4
2025-11-27 02:10:22.274093,Altınyol (Anadolu Cad.),38.456,27.175,10,Yesil,Acik,2,3
2025-09-17 23:06:46.274093,Talatpaşa Bulvarı,38.432,27.142,21,Yesil,Acik,23,2
2025-08-01 03:40:46.274093,Manas Bulvarı,38.45,27.2,23,Yesil,Acik,3,4
2025-11-21 08:53:51.274093,Altınyol (Anadolu Cad.),38.456,27.175,90,Kirmizi,Cok Yogun,8,4
2025-07-25 04:19:23.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,23,Yesil,Acik,4,4
2025-10-18 14:59:12.274093,Yeşildere Caddesi,38.405,27.155,63,Turuncu,Akici Yogun,14,5
2025-12-01 19:42:47.274093,Talatpaşa Bulvarı,38.432,27.142,78,Kirmizi,Cok Yogun,19,0
2025-11-05 11:57:53.274093,Altınyol (Anadolu Cad.),38.456,27.175,21,Yesil,Acik,11,2
2025-11-01 15:00:03.274093,Talatpaşa Bulvarı,38.432,27.142,54,Turuncu,Akici Yogun,15,5
2025-09-20 23:09:53.274093,Yeşildere Caddesi,38.405,27.155,13,Yesil,Acik,23,5
2025-08-19 15:54:10.274093,Altınyol (Anadolu Cad.),38.456,27.175,25,Yesil,Acik,15,1
2025-10-23 07:25:31.274093,Yeşildere Caddesi,38.405,27.155,84,Kirmizi,Cok Yogun,7,3
2025-07-24 12:38:46.274093,Talatpaşa Bulvarı,38.432,27.142,27,Yesil,Acik,12,3
2025-09-07 06:29:11.274093,Manas Bulvarı,38.45,27.2,23,Yesil,Acik,6,6
2025-11-27 05:54:46.274093,Altınyol (Anadolu Cad.),38.456,27.175,16,Yesil,Acik,5,3
2025-12-11 22:31:34.274093,Yeşildere Caddesi,38.405,27.155,29,Yesil,Acik,22,3
2025-10-26 06:11:40.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,18,Yesil,Acik,6,6
2025-09-23 16:41:19.274093,Manas Bulvarı,38.45,27.2,29,Yesil,Acik,16,1
2025-09-20 03:19:25.274093,Talatpaşa Bulvarı,38.432,27.142,15,Yesil,Acik,3,5
2025-09-09 12:58:50.274093,Manas Bulvarı,38.45,27.2,15,Yesil,Acik,12,1
2025-08-01 12:45:25.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,29,Yesil,Acik,12,4
2025-11-12 22:12:52.274093,Yeşildere Caddesi,38.405,27.155,16,Yesil,Acik,22,2
2025-12-22 04:46:29.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,14,Yesil,Acik,4,0
2025-11-07 12:44:52.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,20,Yesil,Acik,12,4
2025-10-18 03:40:33.274093,Manas Bulvarı,38.45,27.2,14,Yesil,Acik,3,5
2025-10-14 06:47:04.274093,Talatpaşa Bulvarı,38.432,27.142,21,Yesil,Acik,6,1
2025-11-24 16:35:11.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,19,Yesil,Acik,16,0
2025-10-23 18:55:23.274093,Manas Bulvarı,38.45,27.2,70,Kirmizi,Cok Yogun,18,3
2025-07-08 22:17:43.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,12,Yesil,Acik,22,1
2025-09-08 05:41:38.274093,Yeşildere Caddesi,38.405,27.155,20,Yesil,Acik,5,0
2025-10-05 18:16:03.274093,Yeşildere Caddesi,38.405,27.155,28,Yesil,Acik,18,6
2025-09-30 10:52:05.274093,Manas Bulvarı,38.45,27.2,14,Yesil,Acik,10,1
2025-08-17 20:45:13.274093,Yeşildere Caddesi,38.405,27.155,27,Yesil,Acik,20,6
2025-09-03 21:33:53.274093,Manas Bulvarı,38.45,27.2,16,Yesil,Acik,21,2
2025-11-11 14:13:00.274093,Yeşildere Caddesi,38.405,27.155,22,Yesil,Acik,14,1
2025-08-30 23:12:51.274093,Manas Bulvarı,38.45,27.2,20,Yesil,Acik,23,5
2025-11-25 04:51:47.274093,Yeşildere Caddesi,38.405,27.155,10,Yesil,Acik,4,1
2025-08-10 17:31:58.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,27,Yesil,Acik,17,6
2025-07-09 16:45:49.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,19,Yesil,Acik,16,2
2025-09-30 00:54:35.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,18,Yesil,Acik,0,1
2025-12-14 16:03:41.274093,Talatpaşa Bulvarı,38.432,27.142,55,Turuncu,Akici Yogun,16,6
2025-07-18 11:59:26.274093,Manas Bulvarı,38.45,27.2,22,Yesil,Acik,11,4
2025-09-29 12:35:57.274093,Yeşildere Caddesi,38.405,27.155,25,Yesil,Acik,12,0
2025-08-11 04:41:51.274093,Manas Bulvarı,38.45,27.2,16,Yesil,Acik,4,0
2025-07-21 04:42:59.274093,Manas Bulvarı,38.45,27.2,13,Yesil,Acik,4,0
2025-10-07 23:11:50.274093,Yeşildere Caddesi,38.405,27.155,13,Yesil,Acik,23,1
2025-10-07 20:05:47.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,26,Yesil,Acik,20,1
2025-10-23 19:50:58.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,81,Kirmizi,Cok Yogun,19,3
2025-11-17 11:01:58.274093,Yeşildere Caddesi,38.405,27.155,19,Yesil,Acik,11,0
2025-08-04 03:01:40.274093,Manas Bulvarı,38.45,27.2,13,Yesil,Acik,3,0
2025-07-22 16:32:20.274093,Yeşildere Caddesi,38.405,27.155,16,Yesil,Acik,16,1
2025-10-01 09:10:12.274093,Manas Bulvarı,38.45,27.2,63,Turuncu,Akici Yogun,9,2
2025-07-27 07:22:16.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,10,Yesil,Acik,7,6
2025-11-09 13:18:42.274093,Talatpaşa Bulvarı,38.432,27.142,50,Turuncu,Akici Yogun,13,6
2025-12-16 03:16:29.274093,Altınyol (Anadolu Cad.),38.456,27.175,18,Yesil,Acik,3,1
2025-07-29 12:43:22.274093,Talatpaşa Bulvarı,38.432,27.142,13,Yesil,Acik,12,1
2025-08-28 05:28:17.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,28,Yesil,Acik,5,3
2025-09-18 23:34:02.274093,Manas Bulvarı,38.45,27.2,13,Yesil,Acik,23,3
2025-10-11 04:11:58.274093,Yeşildere Caddesi,38.405,27.155,23,Yesil,Acik,4,5
2025-08-18 01:28:20.274093,Talatpaşa Bulvarı,38.432,27.142,27,Yesil,Acik,1,0
2025-08-27 08:44:37.274093,Altınyol (Anadolu Cad.),38.456,27.175,78,Kirmizi,Cok Yogun,8,2
2025-11-27 20:16:51.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,12,Yesil,Acik,20,3
2025-09-29 04:24:21.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,25,Yesil,Acik,4,0
2025-06-29 15:34:01.274093,Talatpaşa Bulvarı,38.432,27.142,59,Turuncu,Akici Yogun,15,6
2025-09-25 13:54:19.274093,Altınyol (Anadolu Cad.),38.456,27.175,15,Yesil,Acik,13,3
2025-08-30 13:29:36.274093,Altınyol (Anadolu Cad.),38.456,27.175,67,Turuncu,Akici Yogun,13,5
2025-08-26 18:38:16.274093,Talatpaşa Bulvarı,38.432,27.142,90,Kirmizi,Cok Yogun,18,1
2025-10-11 02:24:54.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,27,Yesil,Acik,2,5
2025-08-22 08:24:04.274093,Manas Bulvarı,38.45,27.2,85,Kirmizi,Cok Yogun,8,4
2025-07-23 17:46:56.274093,Talatpaşa Bulvarı,38.432,27.142,92,Kirmizi,Cok Yogun,17,2
2025-12-23 04:08:58.274093,Yeşildere Caddesi,38.405,27.155,21,Yesil,Acik,4,1
2025-09-20 01:35:44.274093,Altınyol (Anadolu Cad.),38.456,27.175,10,Yesil,Acik,1,5
2025-07-26 11:43:26.274093,Altınyol (Anadolu Cad.),38.456,27.175,26,Yesil,Acik,11,5
2025-10-27 15:53:15.274093,Altınyol (Anadolu Cad.),38.456,27.175,15,Yesil,Acik,15,0
2025-09-12 09:20:28.274093,Altınyol (Anadolu Cad.),38.456,27.175,78,Kirmizi,Cok Yogun,9,4
2025-11-01 11:32:39.274093,Yeşildere Caddesi,38.405,27.155,14,Yesil,Acik,11,5
2025-08-24 22:31:24.274093,Talatpaşa Bulvarı,38.432,27.142,17,Yesil,Acik,22,6
2025-10-21 00:17:56.274093,Altınyol (Anadolu Cad.),38.456,27.175,21,Yesil,Acik,0,1
2025-09-13 04:15:56.274093,Manas Bulvarı,38.45,27.2,27,Yesil,Acik,4,5
2025-10-11 09:55:34.274093,Manas Bulvarı,38.45,27.2,27,Yesil,Acik,9,5
2025-09-29 09:16:52.274093,Talatpaşa Bulvarı,38.432,27.142,85,Kirmizi,Cok Yogun,9,0
2025-09-19 01:57:48.274093,Yeşildere Caddesi,38.405,27.155,15,Yesil,Acik,1,4
2025-08-14 04:23:04.274093,Altınyol (Anadolu Cad.),38.456,27.175,12,Yesil,Acik,4,3
2025-07-09 02:40:00.274093,Talatpaşa Bulvarı,38.432,27.142,15,Yesil,Acik,2,2
2025-08-25 13:52:17.274093,Altınyol (Anadolu Cad.),38.456,27.175,27,Yesil,Acik,13,0
2025-09-26 16:01:48.274093,Talatpaşa Bulvarı,38.432,27.142,13,Yesil,Acik,16,4
2025-07-20 06:45:42.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,26,Yesil,Acik,6,6
2025-10-02 11:02:29.274093,Talatpaşa Bulvarı,38.432,27.142,15,Yesil,Acik,11,3
2025-12-13 22:36:53.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,18,Yesil,Acik,22,5
2025-11-05 06:07:02.274093,Manas Bulvarı,38.45,27.2,15,Yesil,Acik,6,2
2025-09-16 05:53:17.274093,Altınyol (Anadolu Cad.),38.456,27.175,23,Yesil,Acik,5,1
2025-07-04 15:31:03.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,15,Yesil,Acik,15,4
2025-11-19 11:01:50.274093,Yeşildere Caddesi,38.405,27.155,16,Yesil,Acik,11,2
2025-12-09 20:49:40.274093,Yeşildere Caddesi,38.405,27.155,15,Yesil,Acik,20,1
2025-11-06 02:00:12.274093,Manas Bulvarı,38.45,27.2,18,Yesil,Acik,2,3
2025-10-11 11:48:01.274093,Talatpaşa Bulvarı,38.432,27.142,10,Yesil,Acik,11,5
2025-09-19 22:32:54.274093,Manas Bulvarı,38.45,27.2,25,Yesil,Acik,22,4
2025-08-11 17:09:16.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,86,Kirmizi,Cok Yogun,17,0
2025-09-07 23:28:16.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,13,Yesil,Acik,23,6
2025-09-07 19:36:13.274093,Altınyol (Anadolu Cad.),38.456,27.175,26,Yesil,Acik,19,6
2025-12-10 07:31:43.274093,Manas Bulvarı,38.45,27.2,66,Turuncu,Akici Yogun,7,2
2025-09-28 05:37:16.274093,Yeşildere Caddesi,38.405,27.155,11,Yesil,Acik,5,6
2025-11-04 10:17:17.274093,Yeşildere Caddesi,38.405,27.155,21,Yesil,Acik,10,1
2025-08-27 09:08:38.274093,Altınyol (Anadolu Cad.),38.456,27.175,82,Kirmizi,Cok Yogun,9,2
2025-09-24 02:56:02.274093,Yeşildere Caddesi,38.405,27.155,17,Yesil,Acik,2,2
